Symbol,Name,,,CASH_RATIO,CASH_RATIO,True Cash Ratio,RETURN_COM_EQY,PX_TO_BOOK_RATIO,PE_RATIO,SHORT_INT_RATIO,TOT_DEBT_TO_COM_EQY,IS_EPS,Last price,,
ALL^G,Allstate Corporation (The),ALL^G US Equity,ALL^G UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
ALLY,Ally Financial Inc.,ALLY US Equity,ALLY UA Equity,#VALUE!,#VALUE!,null,7.297614096,0.847719534,10.0903,4.993,417.6731,0.57,25.75,27/06/2017 17:00,29.16
ALLY^A,Ally Financial Inc.,ALLY^A US Equity,ALLY^A UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
AYX,"Alteryx, Inc.",AYX US Equity,AYX UA Equity,1.4146,1.4146,1.4146,-11.78099451,13.91993425,null,6.099,0,-0.09,36.58,27/06/2017 17:00,27.64
ATUS,"Altice USA, Inc.",ATUS US Equity,ATUS UA Equity,0.5172,0.5172,0.5172,37.95532331,2.274547883,7.9119,6.355,381.4418,-0.17,17.03,27/06/2017 17:00,19.05
MO,Altria Group,MO US Equity,MO UA Equity,0.2931,0.2931,0.2931,77.44991683,6.990818333,24.2783,2.608,90.2754,1,56.2147,27/06/2017 17:00,71.72
ACH,Aluminum Corporation of China Limited,ACH US Equity,ACH UA Equity,0.2813,0.2813,0.2813,3.501074874,null,null,7.374,195.4478,#N/A N/A,10.89,27/06/2017 17:00,15.65
AMBR,"Amber Road, Inc.",AMBR US Equity,AMBR UA Equity,0.1991,0.1991,0.1991,-40.17695772,9.0729276,null,2.422,32.4708,-0.11,9.45,27/06/2017 17:00,7.34
ABEV,Ambev S.A.,ABEV US Equity,ABEV UA Equity,0.3486,0.3486,0.3486,15.99019296,null,null,0.384,9.1508,#N/A N/A,4.75,27/06/2017 17:00,6.47
AMC,"AMC Entertainment Holdings, Inc.",AMC US Equity,AMC UA Equity,0.2462,0.2462,0.2462,-20.39257521,0.996478935,25.327,9.872,235.1604,0.14,16.05,27/06/2017 17:00,15.25
AEE,Ameren Corporation,AEE US Equity,AEE UA Equity,0.009,0.009,0.009,8.003358052,1.992937811,19.1154,2.163,123.0429,0.62,59.98,27/06/2017 17:00,61.36
AMRC,"Ameresco, Inc.",AMRC US Equity,AMRC UA Equity,0.197,0.197,0.197,14.1745566,1.606801979,22.2276,1.836,71.8993,0.15,11.769,27/06/2017 17:00,8.7
AMOV,"America Movil, S.A.B. de C.V.",AMOV US Equity,AMOV UA Equity,#VALUE!,#VALUE!,null,5.735626874,null,null,0.007,#N/A N/A,#N/A N/A,16.34,27/06/2017 17:00,16.88
AMX,"America Movil, S.A.B. de C.V.",AMX US Equity,AMX UA Equity,#VALUE!,#VALUE!,null,5.735626874,null,null,2.623,#N/A N/A,#N/A N/A,16.45,27/06/2017 17:00,17.07
AAT,"American Assets Trust, Inc.",AAT US Equity,AAT UA Equity,#VALUE!,#VALUE!,null,2.561883226,2.202913362,69.6997,1.628,155.9699,-0.01,38.46,27/06/2017 17:00,39.06
AXL,"American Axle & Manufacturing Holdings, Inc.",AXL US Equity,AXL UA Equity,0.2524,0.2524,0.2524,29.55231605,1.088922377,4.3721,6.272,238.7687,0.78,16.6848,27/06/2017 17:00,17.2
ACC,American Campus Communities Inc,ACC US Equity,ACC UA Equity,#VALUE!,#VALUE!,null,1.754393291,1.703307456,63.3759,3.067,90.6757,0.19,42.98,27/06/2017 17:00,43.55
AEO,"American Eagle Outfitters, Inc.",AEO US Equity,AEO UA Equity,0.5354,0.5354,0.5354,18.82418007,3.463388383,10.1157,2.426,0,0.23,23.76,27/06/2017 17:00,17.19
AEP,"American Electric Power Company, Inc.",AEP US Equity,AEP UA Equity,0.408,0.408,0.408,9.808505347,1.819602662,18.8882,2.787,130.3752,0.92,69.09,27/06/2017 17:00,76.02
AEL,American Equity Investment Life Holding Company,AEL US Equity,AEL UA Equity,0.4658,0.4658,0.4658,10.50196249,1.263382015,15.0809,2.458,28.9315,1.57,35.53,27/06/2017 17:00,32.22
AXP,American Express Company,AXP US Equity,AXP UA Equity,0.8524,0.8524,0.8524,14.87126369,4.326966821,16.9681,2.242,276.9235,1.86,98.6918,27/06/2017 17:00,99.37
AFG,"American Financial Group, Inc.",AFG US Equity,AFG UA Equity,0.7123,0.7123,0.7123,9.003277424,1.842446024,14.5986,3.063,25.1013,1.64,106.72,27/06/2017 17:00,105.3
AFGE,"American Financial Group, Inc.",AFGE US Equity,AFGE UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
AFGH,"American Financial Group, Inc.",AFGH US Equity,AFGH UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
